id,name,brand,price,avg_rating,specs,category_id
223,"Laptop Lenovo IdeaPad Slim 3 14ARP10 - 83K600E6VN (R5 7535HS, 16GB, 512GB, WUXGA, Win11)",Lenovo,22490000,4.70,"{'os': 'Windows 11 Home SL', 'cpu': 'AMD Ryzen 5 - 7533HS', 'ram': 16, 'vga': 'Card tích hợp - AMD Radeon 660M Graphics', 'weight': 1.39, 'battery': 50.0, 'storage': 512, 'material': 'Mặt lưng nhôm - Mặt dưới nhựa', 'screen_size': 14.0}",2
178,"Laptop Lenovo IdeaPad Slim 3 15ARP10 - 83K700YUVN (R5 7535HS, 16GB, 512GB, WUXGA, Win11)",Lenovo,22590000,4.40,"{'os': 'Windows 11 Home SL', 'cpu': 'AMD Ryzen 5 - 7535HS', 'ram': 16, 'vga': 'Card tích hợp - AMD Radeon 660M Graphics', 'weight': 1.59, 'battery': 50.0, 'storage': 512, 'material': 'Nắp lưng và chiếu nghỉ tay bằng nhôm', 'screen_size': 15.3, 'refresh_rate': 60}",2
164,"Laptop Asus Vivobook S14 S3407VA - LY146W (Core 5 210H, 16GB, 512GB, WUXGA, Win11)",Asus,22590000,4.30,"{'os': 'Windows 11 Home', 'cpu': 'Intel Core 5 Raptor Lake - 210H', 'ram': 16, 'vga': 'Card tích hợp - Intel UHD Graphics', 'weight': 1.4, 'battery': 70.0, 'storage': 512, 'material': 'Vỏ bằng kim loại - Chiếu nghỉ tay bằng nhựa', 'screen_size': 14.0, 'refresh_rate': 60}",2
264,"Laptop HP Pavilion 16 af0055TU - AY8C4PA (Ultra 5 125U, 16GB, 512GB, WUXGA, OfficeHS+365, Win11)",HP,22790000,3.80,"{'os': 'Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn', 'cpu': 'Intel Core Ultra 5 Meteor Lake - 125U', 'ram': 16, 'vga': 'Card tích hợp - Intel Graphics', 'weight': 1.7, 'battery': 59.0, 'storage': 512, 'material': 'Vỏ kim loại', 'screen_size': 16.0}",2
294,"Laptop Dell 15 DC15250 - 71084746 (i5 1334U, 16GB, 512GB, Full HD 120Hz, OfficeHS24+365, Win11)",Dell,22890000,4.10,"{'os': 'Windows 11 Home + Microsoft Office Home 2024 vĩnh viễn + Microsoft 365 Basic 1 năm', 'cpu': 'Intel Core i5 Raptor Lake - 1334U', 'ram': 16, 'vga': 'Card tích hợp - Intel UHD Graphics', 'weight': 1.65, 'battery': 41.0, 'storage': 512, 'material': 'Vỏ nhựa', 'screen_size': 15.6, 'refresh_rate': 120}",2
199,"Laptop Dell 15 DC15250 - CPH99 (i5 1334U, 16GB, 512GB, Full HD 120Hz, OfficeH24+365B, Win11)",Dell,22890000,3.90,"{'os': 'Windows 11 Home SL + Office Home & Student 2021 + Microsoft 365 Basic', 'cpu': 'Intel Core i5 Raptor Lake - 1334U', 'ram': 16, 'vga': 'Card tích hợp - Intel UHD Graphics', 'weight': 1.65, 'battery': 41.0, 'storage': 512, 'material': 'Vỏ nhựa', 'screen_size': 15.6, 'refresh_rate': 120}",2
267,"Laptop Dell 15 DC15250 - DC5I5357W1 (i5 1334U, 16GB, 512GB, Full HD 120Hz, OfficeH24+365, Win11)",Dell,22890000,4.70,"{'os': 'Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic', 'cpu': 'Intel Core i5 Raptor Lake - 1334U', 'ram': 16, 'vga': 'Card tích hợp - Intel UHD Graphics', 'weight': 1.65, 'battery': 41.0, 'storage': 512, 'material': 'Vỏ nhựa', 'screen_size': 15.6, 'refresh_rate': 120}",2
288,"Laptop HP 15 fd0015TU - A19C5PA (i7 1355U, 16GB, 512GB, Full HD, Win11)",HP,23090000,4.10,"{'os': 'Windows 11 Home SL', 'cpu': 'Intel Core i7 Raptor Lake - 1355U', 'ram': 16, 'vga': 'Card tích hợp - Intel Iris Xe Graphics', 'weight': 1.59, 'battery': 41.0, 'storage': 512, 'material': 'Vỏ nhựa', 'screen_size': 15.6, 'refresh_rate': 60}",2
195,"Laptop Asus Vivobook 15 X1504VA - BQ295W (Core 7 150U, 16GB, 512GB, Full HD, Win11)",Asus,23290000,4.90,"{'os': 'Windows 11 Home SL', 'cpu': 'Intel Core 7 Raptor Lake - 150U', 'ram': 16, 'vga': 'Card tích hợp - Intel Graphics', 'weight': 1.7, 'battery': 42.0, 'storage': 512, 'material': 'Vỏ nhựa', 'screen_size': 15.6, 'refresh_rate': 60}",2
175,"Laptop Dell 15 DC15250 - 71092479 (i5 1334U, 16GB, 512GB, Full HD 120Hz, OfficeHS24+365B, Win11)",Dell,23390000,3.80,"{'os': 'Windows 11 Home + Microsoft Office Home 2024 vĩnh viễn + Microsoft 365 Basic 1 năm', 'cpu': 'Intel Core i5 Raptor Lake - 1334U', 'ram': 16, 'vga': 'Card tích hợp - Intel UHD Graphics', 'weight': 1.65, 'battery': 41.0, 'storage': 512, 'material': 'Vỏ nhựa', 'screen_size': 15.6, 'refresh_rate': 120}",2
